2026-08-05T15:07:15.275578+07:00 | brands 6/6 | products 2019 | pages 12 | new14d 36 | errors 0 | changes new 0 / removed 0 / price 0 / stock 0
2026-08-05T15:12:14.374032+07:00 | brands 6/6 | products 2019 | pages 12 | new14d 36 | errors 0 | changes new 0 / removed 0 / price 0 / stock 0
2026-08-05T15:25:33.859817+07:00 | brands 6/6 | products 2019 | pages 12 | new14d 36 | errors 0 | changes new 0 / removed 0 / price 0 / stock 0
2026-08-06T04:00:02.858781+07:00 | brands 6/6 | products 2019 | pages 12 | new14d 36 | errors 0 | changes new 0 / removed 0 / price 0 / stock 0
2026-08-07T04:00:04.068083+07:00 | brands 6/6 | products 2019 | pages 12 | new14d 28 | errors 0 | changes new 0 / removed 0 / price 0 / stock 4
2026-08-08T04:00:03.903080+07:00 | brands 6/6 | products 2019 | pages 12 | new14d 28 | errors 0 | changes new 0 / removed 0 / price 0 / stock 0
2026-08-09T04:11:40.304601+07:00 | brands 6/6 | products 2019 | pages 12 | new14d 28 | errors 0 | changes new 0 / removed 0 / price 0 / stock 4
2026-08-10T04:00:04.490997+07:00 | brands 6/6 | products 2019 | pages 12 | new14d 28 | errors 0 | changes new 0 / removed 0 / price 0 / stock 2
2026-08-11T04:00:04.621291+07:00 | brands 6/6 | products 2019 | pages 12 | new14d 28 | errors 0 | changes new 0 / removed 0 / price 571 / stock 2
2026-08-12T04:00:05.214196+07:00 | brands 6/6 | products 1943 | pages 11 | new14d 28 | errors 0 | changes new 8 / removed 84 / price 560 / stock 1
2026-08-12T15:47:27.674804+07:00 | brands 7/7 | products 2116 | pages 12 | new14d 36 | errors 0 | changes new 6 / removed 0 / price 2 / stock 0
2026-08-13T04:00:02.401875+07:00 | brands 7/7 | products 2116 | pages 12 | new14d 36 | errors 0 | changes new 0 / removed 0 / price 62 / stock 0
2026-08-14T04:00:02.208245+07:00 | brands 7/7 | products 2116 | pages 12 | new14d 20 | errors 0 | changes new 0 / removed 0 / price 0 / stock 2
2026-08-15T04:00:04.498669+07:00 | brands 7/7 | products 2117 | pages 12 | new14d 15 | errors 0 | changes new 1 / removed 0 / price 0 / stock 7
2026-08-16T04:00:03.955814+07:00 | brands 7/7 | products 2117 | pages 12 | new14d 15 | errors 0 | changes new 0 / removed 0 / price 0 / stock 0
2026-08-17T04:00:04.178192+07:00 | brands 7/7 | products 2115 | pages 12 | new14d 15 | errors 0 | changes new 0 / removed 2 / price 0 / stock 0
2026-08-18T04:00:03.520764+07:00 | brands 7/7 | products 2117 | pages 12 | new14d 17 | errors 0 | changes new 0 / removed 0 / price 0 / stock 0
2026-08-19T04:00:04.523567+07:00 | brands 7/7 | products 2120 | pages 12 | new14d 17 | errors 0 | changes new 3 / removed 0 / price 0 / stock 1
2026-08-19T12:57:02.549151+07:00 | brands 7/7 | products 2120 | pages 12 | new14d 17 | errors 0 | changes new 0 / removed 0 / price 280 / stock 0
2026-08-20T04:00:04.810746+07:00 | brands 7/7 | products 2120 | pages 12 | new14d 17 | errors 0 | changes new 0 / removed 0 / price 0 / stock 0
2026-08-21T04:00:04.077192+07:00 | brands 7/7 | products 2122 | pages 12 | new14d 13 | errors 0 | changes new 7 / removed 5 / price 0 / stock 3
2026-08-21T10:16:01.581549+07:00 | brands 7/7 | products 2122 | pages 12 | new14d 12 | errors 0 | changes new 0 / removed 0 / price 0 / stock 3
2026-08-22T04:00:04.010505+07:00 | brands 7/7 | products 2328 | pages 13 | new14d 217 | errors 0 | changes new 207 / removed 1 / price 0 / stock 6
2026-08-23T04:00:04.251391+07:00 | brands 7/7 | products 2453 | pages 13 | new14d 341 | errors 0 | changes new 125 / removed 0 / price 190 / stock 6
2026-08-24T04:00:04.987328+07:00 | brands 7/7 | products 2481 | pages 13 | new14d 391 | errors 0 | changes new 52 / removed 24 / price 309 / stock 10
2026-08-25T04:00:04.797684+07:00 | brands 7/7 | products 2125 | pages 12 | new14d 35 | errors 0 | changes new 3 / removed 359 / price 24 / stock 2
2026-08-26T04:00:05.138632+07:00 | brands 7/7 | products 2125 | pages 12 | new14d 35 | errors 0 | changes new 1 / removed 1 / price 0 / stock 60
2026-08-26T12:29:22.334395+07:00 | brands 7/7 | products 2125 | pages 12 | new14d 35 | errors 0 | changes new 0 / removed 0 / price 0 / stock 1
2026-08-27T04:00:03.921113+07:00 | brands 7/7 | products 2125 | pages 12 | new14d 35 | errors 0 | changes new 0 / removed 0 / price 0 / stock 1
2026-08-28T04:00:04.608536+07:00 | brands 7/7 | products 2128 | pages 12 | new14d 38 | errors 0 | changes new 3 / removed 0 / price 0 / stock 7
